names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Mission Majnu,2023,U/A 16+ ,2h 9m,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","['Spy Movies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure']",Suspenseful,"['Sidharth Malhotra', 'Rashmika Mandanna', 'Parmeet Sethi', 'Sharib Hashmi', 'Kumud Mishra']","['English,', 'English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Tamil,', 'Telugu']"
Cirkus,2022,U/A 7+ ,2h 14m,Chaos and comedy take the spotlight when a ringmaster and his band of acrobats set out to revive the fading culture of classic circus entertainment.,"['Hindi-Language Movies', 'Bollywood Movies', 'Comedies']",Goofy,"['Ranveer Singh', 'Varun Sharma', 'Pooja Hegde', 'Jacqueline Fernandez', 'Sanjay Mishra', 'Anil Mange', 'Murli Sharma', 'Siddarth Jadhav']","['English,', 'Hindi']",['Hindi [Original]']
Gangubai Kathiawadi,2022,U/A 16+ ,2h 33m,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.","['Hindi-Language Movies', 'Movies Based on Books', 'Dramas']",Provocative,"['Alia Bhatt', 'Vijay Raaz', 'Seema Pahwa', 'Ajay Devgn', 'Jim Sarbh', 'Chhaya Kadam', 'Shantanu Maheshwari', 'Indira Tiwari']","['English,', 'Hindi']","['Hindi [Original],', 'Telugu']"
Thunivu,2023,U/A 16+ ,2h 22m,A major bank heist takes an unnerving turn when a mysterious interloper known only as Dark Devil begins to hijack the operation.,"['Crime Movies', 'Action & Adventure']",Exciting,"['Ajith Kumar', 'Manju Warrier', 'Samuthirakani', 'John Kokken']","['English,', 'Hindi']",['Tamil [Original]']
Bhool Bhulaiyaa 2,2022,U/A 13+ ,2h 21m,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Horror Movies']","Offbeat,","['Tabu', 'Kartik Aaryan', 'Kiara Advani', 'Rajpal Yadav', 'Sanjay Mishra', 'Ashwini Kalsekar', 'Rajesh Sharma', 'Amar Upadhyay']","['English,', 'Hindi']",['Hindi [Original]']
Doctor G,2022,U/A 13+ ,2h 1m,"Medical student Uday Gupta grudgingly joins an all-women's gynecology class, but being a good doctor — and person — rests on pondering his prejudice.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']","Quirky,","['Ayushmann Khurrana', 'Rakul Preet Singh', 'Sheeba Chaddha', 'Shefali Shah', 'Abhay Mishr', 'Indraneil Sengupta', 'Ayesha Kaduskar', 'Pooja Swaroop']","['English,', 'Hindi']",['Hindi [Original]']
Double XL,2022,U/A 13+ ,2h 5m,"Relentlessly shamed for their weight, two women head to London to prove that the size of their dreams is the only one that matters.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']",Feel-Good,"['Sonakshi Sinha', 'Huma Qureshi', 'Zaheer Iqbal', 'Mahat Raghavendra', 'Shubha Khote', 'Kanwaljeet Singh', 'Alka Badola Kaushal', 'Sachin Shroff']","['English,', 'Hindi']",['Hindi [Original]']
Kabir Singh,2019,A ,2h 51m,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.","['Hindi-Language Movies', 'Bollywood Movies', 'Dramas', 'Romantic Movies']","Emotional,","['Shahid Kapoor', 'Kiara Advani', 'Suresh Oberoi', 'Arjan Bajwa', 'Adil Hussain', 'Nikita Dutta', 'Kamini Kaushal', 'Anurag Arora']",['English'],['Hindi [Original]']
Raw (Hindi),2022,U/A 16+ ,2h 36m,A jaded former intelligence agent is pulled back into action when an attack at a mall creates a tense hostage situation.,['Action & Adventure'],,"['Vijay', 'Pooja Hegde']",['English'],['Hindi']
Sooryavanshi,2021,U/A 16+ ,2h 23m,"A fearless, faithful (and only slightly forgetful) Mumbai cop pulls out all the stops — and stunts — to thwart a major conspiracy to attack his city.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Action & Adventure']",Exciting,"['Akshay Kumar', 'Katrina Kaif', 'Abhimanyu Singh', 'Gulshan Grover', 'Kumud Mishra', 'Jackie Shroff', 'Jaaved Jaaferi', 'Mrunal Jain']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Tamil,', 'Telugu']"
The Elephant Whisperers,2022,U/A 7+ ,40m,"Bomman and Bellie, a couple in south India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other.","['Documentaries', 'Science & Nature Docs', 'Nature & Ecology Documentaries', 'Children & Family Movies']",Heartfelt,[],"['English,', 'English,', 'Tamil']","['English,', 'Hindi,', 'Tamil - Audio Description,', 'Tamil [Original],', 'Telugu']"
